"Title","Default language","Default text","ja text","Variant status","Placeholder"
"7.0::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.0.","Liferay DXP 7.0の過去のサービスパックへアクセス","Active","dc.7_0-service_packs_archive_card_description"
"7.0::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.0.","Liferay DXP 7.0へのアップグレードに役立つ資料を参照","Active","dc.7_0-upgrading_card_description"
"7.1::Account Support Card Description","English","Learn more about designated contacts for your project.","","","dc.7_1-account_support_card_description"
"7.1::Activation Keys Card Description","English","Request a key for your workstation and production environments.","Liferay DXP環境をアクティベートし、　　　　　プロジェクトを開始","Active","dc.7_1-activation_keys_card_description"
"7.1::Admin Guide Card","English","Admin Guide","管理者ガイド","Active","dc.7_1-admin_guide_card"
"7.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.1.","Liferay DXP 7.1のの標準機能の使用方法を習得","Active","dc.7_1-admin_guide_card_description"
"7.1::Admin Reference Card","English","Admin Reference","管理者向け参考資料","Active","dc.7_1-admin_reference_card"
"7.1::Admin Reference Card Description","English","Check Liferay definitions and configuration settings to customize your platform.","プラットフォームをカスタマイズするためのLiferay定義と設定を確認","Active","dc.7_1-admin_reference_card_description"
"7.1::Announcements Card Description","English","Get the latest updates on new releases, patches, and system improvements.","最新リリース、パッチ、システムの改善に関する最新アップデートを提供","Active","dc.7_1-announcements_card_description"
"7.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.1.","Liferay DXP 7.1でサポートされている設定を確認","Active","dc.7_1-compatibility_matrix_card_description"
"7.1::Components Tab","English","Components","コンポーネント","Active","dc.7_1-components_tab"
"7.1::Deployment Guide Card","English","Deployment Guide","デプロイメントガイド","Active","dc.7_1-deployment_guide_card"
"7.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.1 environments.","Liferay DXP 7.1環境のデプロイ、設定、維持および管理方法の詳細","Active","dc.7_1-deployment_guide_card_description"
"7.1::Developer Reference Card","English","Developer Reference","開発者向け参考資料","Active","dc.7_1-developer_reference_card"
"7.1::Developer Reference Card Description","English","Access APIs, build commands, project templates, sample projects, and more.","API、プロジェクトテンプレート、ビルド　　　コマンド、サンプルプロジェクト等にアクセス","Active","dc.7_1-developer_reference_card_description"
"7.1::Developer Tools and Frameworks Card","English","Developer Tools and Frameworks","開発用ツール／フレームワーク","Active","dc.7_1-developer_tools_and_frameworks_card"
"7.1::Developer Tools and Frameworks Card Description","English","A set of tools and frameworks built specifically for Liferay development.","Liferay開発のために構築されたツールと　　　　フレームワークのセット","Active","dc.7_1-developer_tools_and_frameworks_card_description"
"7.1::Developer Tutorials Card","English","Developer Tutorials","開発者用チュートリアル","Active","dc.7_1-developer_tutorials_card"
